State,PopulationCount,Diabetes%,Long & Lat,Obesity %,Overweight %,In-Active %,Muscle Strengthening %,Low Aerobics %,High Aerobics %,Strength & Conditioning %,Low Veggies Consumption %,Low Fruit Consumption %
Ohio,6990206.0,13.484291822014955,"(40.06021014100048, -82.40426005599966)",30.61495800341897,35.51187584303825,26.826237192228927,28.781621938558693,50.418502389627896,32.29965639172453,19.64297535427532,25.218290847962074,41.102722022753795
Oklahoma,4079647.0,10.968376136464746,"(35.47203135600046, -97.52107021399968)",32.426649808161834,35.26716184280519,31.062664346398385,23.961429890122997,45.03317800276255,27.76227891545589,15.872443565686712,25.11613103258207,49.87586927020508
Oregon,3999150.0,8.00558626208069,"(44.56744942400047, -120.15503132599969)",27.455249803852094,34.248632655515266,17.822187421225113,30.714138109907804,62.55670463738329,41.90797512751574,23.580840878112568,15.484919943654091,33.17045065122097
Pennsylvania,6871879.0,12.584098759596893,"(40.79373015200048, -77.86070029399963)",29.52733763975302,35.48975484293,25.130508523867412,28.209443426010793,48.99638943376489,30.125498015846855,18.61259026583785,23.973081274689182,36.76748187081726
Rhode Island,1236744.0,10.133086960599773,"(41.70828019300046, -71.52247031399963)",26.250716163018893,36.950868843895115,25.34543054760921,28.54368178183675,49.76876900219415,30.05120908695136,19.60201536177885,21.158709501185328,34.37433432727757
South Carolina,1442345.0,10.858545632286313,"(33.998821303000454, -81.04537120699968)",31.56605916155932,34.90903181478714,26.376987357919912,27.43065079007696,50.09346711424252,31.142500981130475,18.693845531139818,26.109326968721977,44.979958625195074
South Dakota,665478.0,8.638581140172928,"(44.353130053000484, -100.3735306369997)",29.380326439014283,36.355525692892364,23.419674459252793,26.87499941176932,51.08273649942553,31.0857397033012,17.526512057135974,25.216139194843922,39.804510034116795
Tennessee,5508653.0,12.27019046216925,"(35.68094058000048, -85.77449091399967)",31.80939431767714,35.50739282327093,32.04100402104405,21.7893389630628,40.61429318687068,23.686533260032988,13.787473042766608,23.71734149887651,44.95328340644058
Texas,36974454.0,11.982611529571214,"(31.827240407000488, -99.42677020599967)",30.892872767501697,35.82416324363596,28.122963802745854,28.166609506261807,45.693073289696855,26.414974545249233,18.359016757453922,20.34169775988718,41.07999388289858
Utah,2792631.0,7.715773046994031,"(39.360700171000474, -111.58713063499971)",24.84187213099239,34.61377813540634,18.39324320683653,32.77993892010749,55.95979119933549,34.15435235548077,23.147264787853786,19.548842522461676,35.62985648699368
Vermont,127251.0,6.2726595468797886,"(43.62538123900049, -72.51764079099962)",24.784377471703266,35.73734341582646,20.00902018783604,29.664731781103114,59.301071713915775,39.78367112952141,22.32567774651025,16.98119958804605,31.999903427431978
Virginia,5754177.0,10.979922723962083,"(37.54268067400045, -78.45789046299967)",28.383089529135237,35.85722433460077,24.379881985332087,32.158279601294176,51.96806630445083,32.311226141955856,22.23896731232934,21.276880038975943,38.17241686070349
Washington,6244525.0,8.356670747574878,"(47.52227862900048, -120.47001078999972)",26.881016512906342,35.489177499496776,19.481556131296024,30.98514490618766,57.126852823760174,36.898639482318465,21.881925904682454,17.294790244321348,35.19660764716824
West Virginia,154151.0,14.100028543441171,"(38.66551020200046, -80.71264013499967)",34.615288668464146,34.92907283826157,31.513495320480644,19.55885518837081,46.23623059591972,30.116890535099312,12.91604516370284,25.24461802108696,47.27955905151337
Wisconsin,3760451.0,9.039464814193831,"(44.39319117400049, -89.81637074199966)",30.126659349173547,36.40881579410833,22.134061732087666,28.8343906177817,55.918155040408344,34.908430534580084,20.842939394590413,24.995415180845647,36.58104135832922
Wyoming,178398.0,8.536138858058946,"(43.23554134300048, -108.10983035299967)",26.93722276503578,36.753733476443344,24.200622630544878,29.416719598106017,54.10801031804077,35.247047030073325,21.252018255172967,20.746163592433245,39.31941298128961
